step,price,action,action_name,q_hold,q_buy,q_sell
248,112.62348175048828,0,HOLD,21219.629,21147.186,21192.004
249,113.08490753173828,0,HOLD,21201.297,21128.863,21173.676
250,113.51808166503906,0,HOLD,21221.695,21148.354,21193.219
251,113.43331146240234,0,HOLD,21192.33,21143.684,21177.785
252,113.11315155029295,0,HOLD,21067.568,21017.19,21043.139
253,113.1884994506836,0,HOLD,21046.63,20955.53,21005.852
254,113.77233123779295,0,HOLD,20963.135,20947.188,20953.848
255,112.88713836669922,0,HOLD,20991.666,20968.672,20982.377
256,112.72708129882812,0,HOLD,20927.742,20872.172,20899.219
257,111.56881713867188,1,BUY,20880.602,20895.213,20884.297
258,112.5669937133789,1,BUY,20879.516,20894.125,20883.21
259,113.1790771484375,1,BUY,20874.479,20889.092,20878.176
260,113.81939697265624,0,HOLD,20887.936,20877.244,20866.328
261,114.81757354736328,0,HOLD,21013.762,20960.273,20987.32
262,115.19426727294922,1,BUY,21021.379,21029.805,21026.627
263,115.448486328125,2,SELL,21035.271,21039.895,21040.52
264,115.75926208496094,1,BUY,21031.746,21037.312,21036.99
265,115.58033752441406,2,SELL,21040.488,21028.93,21042.04
266,115.97582244873048,0,HOLD,21010.357,20954.785,20981.832
267,115.62741088867188,0,HOLD,20968.627,20913.057,20940.102
268,115.86283111572266,1,BUY,20895.31,20896.432,20885.516
269,115.80633544921876,1,BUY,20891.467,20906.078,20895.16
270,116.06056213378906,1,BUY,20890.895,20905.508,20894.59
271,116.15473175048828,1,BUY,20895.441,20910.05,20899.133
272,116.9363250732422,1,BUY,20897.58,20912.191,20901.277
273,118.1134033203125,1,BUY,20896.254,20910.865,20899.95
274,118.23582458496094,1,BUY,20899.854,20906.148,20895.229
275,118.46183776855467,0,HOLD,20930.088,20904.398,20901.562
276,117.53900909423828,0,HOLD,20944.793,20906.596,20916.264
277,117.30358123779295,1,BUY,20909.512,20924.121,20913.207
278,118.1134033203125,1,BUY,20919.621,20934.229,20923.316
279,118.00983428955078,1,BUY,20913.412,20928.023,20917.107
280,118.34881591796876,1,BUY,20911.504,20926.115,20915.195
281,118.4900894165039,1,BUY,20904.012,20918.623,20907.709
282,118.92326354980467,1,BUY,20901.428,20916.037,20905.123
283,119.12100219726562,1,BUY,20892.002,20906.61,20895.695
284,119.5541763305664,1,BUY,20886.154,20900.768,20889.848
285,119.94966888427734,1,BUY,20876.848,20891.463,20880.545
286,120.627685546875,1,BUY,20883.232,20897.844,20886.93
287,121.03258514404295,1,BUY,20878.3,20892.914,20881.994
288,121.74822998046876,1,BUY,20874.67,20889.283,20878.363
289,121.71060180664062,1,BUY,20872.576,20887.188,20876.273
290,122.23790740966795,1,BUY,20874.11,20888.723,20877.8
291,122.84058380126952,1,BUY,20884.867,20899.477,20888.564
292,122.8876724243164,1,BUY,20886.43,20901.037,20890.123
293,122.42626190185548,1,BUY,20883.996,20898.605,20887.688
294,122.66168975830078,1,BUY,20876.572,20891.188,20880.27
295,122.81231689453124,1,BUY,20877.16,20891.773,20880.855
296,122.43570709228516,1,BUY,20886.844,20901.457,20890.54
297,123.77287292480467,1,BUY,20897.348,20911.96,20901.045
298,123.1513671875,1,BUY,20896.008,20910.62,20899.701
299,123.37738037109376,1,BUY,20893.38,20907.988,20897.074
300,123.10423278808594,1,BUY,20899.201,20913.816,20902.898
301,122.89707946777344,1,BUY,20894.959,20909.568,20898.652
302,123.11370086669922,1,BUY,20888.314,20902.93,20892.01
303,123.20782470703124,1,BUY,20881.17,20895.781,20884.867
304,123.72575378417967,1,BUY,20879.172,20893.781,20882.87
305,123.93292999267578,1,BUY,20886.443,20901.053,20890.139
306,123.631591796875,1,BUY,20877.678,20892.291,20881.379
307,124.39435577392578,1,BUY,20873.172,20887.785,20876.867
308,124.30960083007812,1,BUY,20866.215,20880.828,20869.906
