Date,Action,Action_Name,group
2023-07-19,0,HOLD,157
2023-07-20,0,HOLD,157
2023-07-21,0,HOLD,157
2023-07-24,0,HOLD,157
2023-07-25,0,HOLD,157
2023-07-26,0,HOLD,157
2023-07-27,0,HOLD,157
2023-07-28,0,HOLD,157
2023-07-31,0,HOLD,157
2023-08-01,0,HOLD,157
2023-08-02,0,HOLD,157
2023-08-03,0,HOLD,157
2023-08-04,0,HOLD,157
2023-08-07,0,HOLD,157
2023-08-08,0,HOLD,157
2023-08-09,0,HOLD,157
2023-08-10,0,HOLD,157
2023-08-11,0,HOLD,157
2023-08-14,0,HOLD,157
2023-08-15,0,HOLD,157
2023-08-16,0,HOLD,157
2023-08-17,0,HOLD,157
2023-08-18,0,HOLD,157
2023-08-21,0,HOLD,157
2023-08-22,0,HOLD,157
2023-08-23,0,HOLD,157
2023-08-24,0,HOLD,157
2023-08-25,0,HOLD,157
2023-08-28,0,HOLD,157
2023-08-29,0,HOLD,157
2023-08-30,0,HOLD,157
2023-08-31,0,HOLD,157
2023-09-01,0,HOLD,157
2023-09-05,0,HOLD,157
2023-09-06,0,HOLD,157
2023-09-07,0,HOLD,157
2023-09-08,0,HOLD,157
2023-09-11,0,HOLD,157
2023-09-12,0,HOLD,157
2023-09-13,0,HOLD,157
2023-09-14,0,HOLD,157
2023-09-15,0,HOLD,157
2023-09-18,0,HOLD,157
2023-09-19,0,HOLD,157
2023-09-20,0,HOLD,157
2023-09-21,0,HOLD,157
2023-09-22,0,HOLD,157
2023-09-25,0,HOLD,157
2023-09-26,0,HOLD,157
2023-09-27,0,HOLD,157
2023-09-28,0,HOLD,157
2023-09-29,0,HOLD,157
2023-10-02,0,HOLD,157
2023-10-03,0,HOLD,157
2023-10-04,0,HOLD,157
2023-10-05,0,HOLD,157
2023-10-06,0,HOLD,157
2023-10-09,0,HOLD,157
2023-10-10,0,HOLD,157
2023-10-11,0,HOLD,157
2023-10-12,0,HOLD,157
2023-10-13,0,HOLD,157
2023-10-16,0,HOLD,157
2023-10-17,0,HOLD,157
2023-10-18,0,HOLD,157
2023-10-19,0,HOLD,157
2023-10-20,0,HOLD,157
2023-10-23,0,HOLD,157
2023-10-24,0,HOLD,157
2023-10-25,0,HOLD,157
2023-10-26,0,HOLD,157
2023-10-27,0,HOLD,157
2023-10-30,0,HOLD,157
2023-10-31,0,HOLD,157
2023-11-01,0,HOLD,157
2023-11-02,0,HOLD,157
2023-11-03,0,HOLD,157
2023-11-06,0,HOLD,157
2023-11-07,0,HOLD,157
2023-11-08,0,HOLD,157
2023-11-09,0,HOLD,157
2023-11-10,0,HOLD,157
2023-11-13,0,HOLD,157
2023-11-14,0,HOLD,157
2023-11-15,0,HOLD,157
2023-11-16,2,SELL,158
2023-11-17,0,HOLD,159
2023-11-20,2,SELL,160
2023-11-21,2,SELL,160
2023-11-22,2,SELL,160
2023-11-24,2,SELL,160
2023-11-27,2,SELL,160
